tweet_id,created_at,text,symbols
1212809466023833601,Thu Jan 02 18:54:44 +0000 2020,"@RiskReversal do you think this is the Blow Off Top? I say we have days, maybe weeks, but not months. $QQQ $MSFT… https://t.co/Bncm51baR0","QQQ,MSFT"
1212809443118919685,Thu Jan 02 18:54:38 +0000 2020,"AAPL: 298.215 at Jan 2, 2020 6:54 PM",
1212809306393006081,Thu Jan 02 18:54:06 +0000 2020,"Who doesn't love the ""it's not too late to get in"" articles at all time highs?  $AAPL https://t.co/g0NMbX2Eon",AAPL
1212809042248306689,Thu Jan 02 18:53:03 +0000 2020,$AAPL $TSLA NEW ARTICLE : Apple will be worth $2 trillion in next several years: Investor https://t.co/nNYiQiXWNy G… https://t.co/XTnjETgZAG,"AAPL,TSLA"
1212808939894644736,Thu Jan 02 18:52:38 +0000 2020,"AAPL: 298.28 at Jan 2, 2020 6:52 PM",
1212808939865333761,Thu Jan 02 18:52:38 +0000 2020,"AAPL: 298.28 at Jan 2, 2020 6:52 PM",
1212808939680804864,Thu Jan 02 18:52:38 +0000 2020,"AAPL: 298.28 at Jan 2, 2020 6:52 PM",
1212808794121617410,Thu Jan 02 18:52:04 +0000 2020,"[ REPOST* VIDEO ] ""Top 2020 Stocks? You Missed The Top 2019 Percentage Gainers / Winners"" $FCEL, $NIO, $ACB, $M,… https://t.co/gD98eBADJR","FCEL,NIO,ACB,M"
1212808589900947457,Thu Jan 02 18:51:15 +0000 2020,I updated my blog today with a #shitton of anti-$aapl shit. And the picture of a hot chick’s ass to or maybe tits.… https://t.co/w8yefL8G2N,
1212808547056148481,Thu Jan 02 18:51:05 +0000 2020,https://t.co/40QrD0pEVsaaplhow does bitcoin workbitcoin mining,
1212808513791156226,Thu Jan 02 18:50:57 +0000 2020,$AAPL at $1.3T is laughable but W/E,AAPL
1212808406773448705,Thu Jan 02 18:50:31 +0000 2020,"AAPL: 298.36 at Jan 2, 2020 6:50 PM",
1212808183850254336,Thu Jan 02 18:49:38 +0000 2020,The Best Longs on https://t.co/3ZIM7m2Xbo are 40 stocks coming off a significant bottom w/momentum or have experien… https://t.co/Xr9YMA3dh4,
1212808063943622659,Thu Jan 02 18:49:09 +0000 2020,Are there any humans buying $AAPL today?  Anyone?,AAPL
1212807945320357888,Thu Jan 02 18:48:41 +0000 2020,"Looking at #AAPL 1H, can easy conclude “this time is different”.#SPX #DJIA #NASDAQ #OMXS30 https://t.co/Tf1WQgHPpw",
1212807918468423685,Thu Jan 02 18:48:35 +0000 2020,@vader7x acknowledgednow bring me $AAPL 300,AAPL
1212807891062870023,Thu Jan 02 18:48:28 +0000 2020,"AAPL: 298.3256 at Jan 2, 2020 6:48 PM",
1212807891054481415,Thu Jan 02 18:48:28 +0000 2020,"AAPL: 298.3256 at Jan 2, 2020 6:48 PM",
1212807890878291971,Thu Jan 02 18:48:28 +0000 2020,"AAPL: 298.3256 at Jan 2, 2020 6:48 PM",
1212807849140719621,Thu Jan 02 18:48:18 +0000 2020,"Go, AAPL, go.",
1212807792999845888,Thu Jan 02 18:48:05 +0000 2020,Buy no matter what... $AAPL is worth two trillion with weaker salesBecause... why not?BULL 4 EVER!,AAPL
1212807773295185920,Thu Jan 02 18:48:00 +0000 2020,@NorthmanTrader That the #FNMAGAT rules the world. $fb $nflx $msft $amzn $goog $aapl $tsla #elites will own it all.,"FB,NFLX,MSFT,AMZN,GOOG,AAPL,TSLA"
1212807671377793025,Thu Jan 02 18:47:36 +0000 2020,"@NorthmanTrader AAPL= ""not in RUT""",
1212807576599044097,Thu Jan 02 18:47:13 +0000 2020,@NoonSixCap They are not AAPL,
1212807558639034368,Thu Jan 02 18:47:09 +0000 2020,$spy $gspc $aapl $nflx $goog $tsla Amazon workers group says members were threatened with termination after speakin… https://t.co/9uU5DPgAqz,"SPY,GSPC,AAPL,NFLX,GOOG,TSLA"
1212807368024580097,Thu Jan 02 18:46:24 +0000 2020,@NorthmanTrader It knows it doesn't include $AAPL,AAPL
1212807190366441472,Thu Jan 02 18:45:41 +0000 2020,Apple makes new deal with Imagination Tech https://t.co/cBBFrSWX3E $AAPL,AAPL
1212807182938517510,Thu Jan 02 18:45:39 +0000 2020,"Join us for Daily Powerful Watchlist, Swing &amp; Day Option Trading Alerts  Paypal monthly link in bio, $99.99 DM for… https://t.co/VZXCa5gDp7",
1212807157420310535,Thu Jan 02 18:45:33 +0000 2020,"REFILE-US STOCKS-Wall St kicks off 2020 at record levels on China stimulus, trade hopes $HBI $DJD $AAPL $MSFT https://t.co/ubQVcg08DP","HBI,DJD,AAPL,MSFT"
1212806878037712897,Thu Jan 02 18:44:27 +0000 2020,"AAPL: 298.1348 at Jan 2, 2020 6:44 PM",
1212806877911879681,Thu Jan 02 18:44:27 +0000 2020,"AAPL: 298.1348 at Jan 2, 2020 6:44 PM",
1212806877781929985,Thu Jan 02 18:44:27 +0000 2020,"AAPL: 298.1348 at Jan 2, 2020 6:44 PM",
1212806562311540737,Thu Jan 02 18:43:11 +0000 2020,$AAPL $BABA $BIDU $JD $PDD:Apple Starts 2020 With a Bang. Thank China.:https://t.co/HQqZDxNGln,"AAPL,BABA,BIDU,JD,PDD"
1212806512311177216,Thu Jan 02 18:43:00 +0000 2020,Contributing more money to the market gods...$214p Jan 10 $QQQ. This is the highest performing at the moment. Not… https://t.co/qi8hi8s0l5,QQQ
1212806370380128256,Thu Jan 02 18:42:26 +0000 2020,"AAPL: 298.16 at Jan 2, 2020 6:42 PM",
1212806370199834625,Thu Jan 02 18:42:26 +0000 2020,"AAPL: 298.16 at Jan 2, 2020 6:42 PM",
1212806363895586816,Thu Jan 02 18:42:24 +0000 2020,Life is just a bowl of $AAPL's,AAPL
1212806217250353153,Thu Jan 02 18:41:49 +0000 2020,"@rationalwalk $AAPL is &gt;13% of $BRK.A market cap. Might have been a layup but WEB made the call, did it with scale,… https://t.co/NSDn3Lsfd1","AAPL,BRK.A"
1212806211621605378,Thu Jan 02 18:41:48 +0000 2020,To those buying AAPL today at almost $300/share I wish you well and it is a great company and all but my gut tells… https://t.co/zqxHYYubkf,
1212805959262715904,Thu Jan 02 18:40:48 +0000 2020,"There will NEVER be a neutral news network. Roll your own feeds with RSS. You know, that thing @tim_cook dropped fr… https://t.co/GuteC3DI0s",
1212805862206652419,Thu Jan 02 18:40:25 +0000 2020,"AAPL: 298.32 at Jan 2, 2020 6:40 PM",
1212805861778825218,Thu Jan 02 18:40:24 +0000 2020,"AAPL: 298.32 at Jan 2, 2020 6:40 PM",
1212805695864741888,Thu Jan 02 18:39:45 +0000 2020,@AlessioUrban 2020 aapl will be inverse,
1212805695550046209,Thu Jan 02 18:39:45 +0000 2020,Always looking for the future $AAPL $AMZN $ROKU $GOOG $NFLX $DPZ $NKE $LULU etc. A small investment at IPO would ha… https://t.co/dB94x8lqgW,"AAPL,AMZN,ROKU,GOOG,NFLX,DPZ,NKE,LULU"
1212805487827263488,Thu Jan 02 18:38:55 +0000 2020,$AAPL what another beastie day for this great ticker...looking good for the option alerts,AAPL
1212805353550893056,Thu Jan 02 18:38:23 +0000 2020,"AAPL: 298.45 at Jan 2, 2020 6:38 PM",
1212805352464506881,Thu Jan 02 18:38:23 +0000 2020,"AAPL: 298.45 at Jan 2, 2020 6:38 PM",
1212805288895664128,Thu Jan 02 18:38:08 +0000 2020,@RampCapitalLLC $AAPL. I was right about them for like a month and then AirPods got bigger than I ever could have imagined.,AAPL
1212804851010297859,Thu Jan 02 18:36:23 +0000 2020,"AAPL: 298.5 at Jan 2, 2020 6:36 PM",
1212804850876063744,Thu Jan 02 18:36:23 +0000 2020,"AAPL: 298.5 at Jan 2, 2020 6:36 PM",
1212804321827573765,Thu Jan 02 18:34:17 +0000 2020,"AAPL: 298.475 at Jan 2, 2020 6:34 PM",
1212804321806606336,Thu Jan 02 18:34:17 +0000 2020,"AAPL: 298.475 at Jan 2, 2020 6:34 PM",
1212804143917740033,Thu Jan 02 18:33:35 +0000 2020,"$RUT on the lows and $AAPL on the highs. They used to say, it's a market of stocks, but that is some old geezer saw… https://t.co/yBDIHdsfcC","RUT,AAPL"
1212803814882979840,Thu Jan 02 18:32:16 +0000 2020,"AAPL: 298.5304 at Jan 2, 2020 6:32 PM",
1212803814765613059,Thu Jan 02 18:32:16 +0000 2020,"AAPL: 298.5304 at Jan 2, 2020 6:32 PM",
1212803814744567811,Thu Jan 02 18:32:16 +0000 2020,"AAPL: 298.5304 at Jan 2, 2020 6:32 PM",
1212803806548893696,Thu Jan 02 18:32:14 +0000 2020,The form is in cloud. Probably $aapl. Winner takes all 🚲🚲🚲🚲🚲,AAPL
